"","BHK","Rent","Size","Area.Type","Area.Locality","Furnishing.Status","Tenant.Preferred","Bathroom","Point.of.Contact"
"258","1",6500,450,"Carpet Area","Mahindra World City","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"259","1",7000,500,"Super Area","Ambattur","Unfurnished","Bachelors/Family",1,"Contact Owner"
"260","1",4500,115,"Super Area","Choolaimedu","Unfurnished","Bachelors",1,"Contact Owner"
"261","2",22000,800,"Carpet Area","R.A Puram, Mandaiveli","Unfurnished","Bachelors/Family",2,"Contact Owner"
"262","2",10000,600,"Super Area","Ambattur","Semi-Furnished","Family",1,"Contact Owner"
"263","2",16000,800,"Super Area","Harrington Road","Unfurnished","Bachelors/Family",2,"Contact Owner"
"264","3",85000,1725,"Super Area","MRC Nagar","Furnished","Bachelors/Family",2,"Contact Agent"
"265","2",15000,1330,"Carpet Area","Madipakkam","Furnished","Bachelors/Family",2,"Contact Owner"
"266","3",25000,2064,"Super Area","Old Mahabalipuram Road","Semi-Furnished","Family",4,"Contact Owner"
"267","1",9000,700,"Super Area","Kamakoti Nagar, Pallikaranai","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"268","2",20000,900,"Super Area","Korattur, Jawaharlal Nehru Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"269","2",15000,1066,"Super Area","Veerapuram","Unfurnished","Family",2,"Contact Owner"
"270","2",9000,700,"Carpet Area","Tambaram West, Tambaram, Chennai Bypass Road","Semi-Furnished","Bachelors",2,"Contact Owner"
"271","2",14000,900,"Super Area","Ram Nagar South Extension, Madipakkam","Furnished","Bachelors/Family",2,"Contact Owner"
"272","2",15000,700,"Super Area","Choolaimedu","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"273","3",14000,950,"Carpet Area","Chromepet, GST Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"274","2",8000,850,"Super Area","Chitlapakkam","Unfurnished","Bachelors/Family",2,"Contact Owner"
"275","2",13500,600,"Carpet Area","Mahindra World City","Furnished","Bachelors/Family",2,"Contact Agent"
"276","2",12000,750,"Super Area","Medavakkam","Semi-Furnished","Bachelors",2,"Contact Owner"
"277","2",7500,850,"Super Area","Anakaputhur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"278","3",20000,1650,"Carpet Area","Madipakkam","Semi-Furnished","Bachelors",3,"Contact Owner"
"279","2",11000,960,"Super Area","Medavakkam","Unfurnished","Family",2,"Contact Owner"
"280","2",11000,1200,"Carpet Area","Tambaram West, Tambaram, Chennai Bypass Road","Unfurnished","Bachelors",2,"Contact Owner"
"281","2",17500,650,"Carpet Area","Thiruvanmiyur","Furnished","Bachelors/Family",2,"Contact Owner"
"282","2",8000,800,"Carpet Area","Kamakshiamman Nagar Layout, Iyyappanthangal","Unfurnished","Bachelors/Family",2,"Contact Owner"
"283","3",25000,1350,"Super Area","C.R.R. Puram L&T Colony","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"284","2",12000,560,"Carpet Area","Tambaram East","Semi-Furnished","Family",2,"Contact Owner"
"285","1",5250,250,"Super Area","Madipakkam","Unfurnished","Bachelors/Family",1,"Contact Owner"
"286","2",25000,685,"Super Area","Alwarpet","Unfurnished","Bachelors",2,"Contact Owner"
"287","2",14000,1021,"Super Area","Sithalapakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"288","3",24000,1200,"Carpet Area","Kellys","Unfurnished","Bachelors/Family",3,"Contact Owner"
"289","3",35000,1557,"Super Area","Manapakkam","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"290","2",8000,550,"Super Area","Pallikaranai","Unfurnished","Bachelors/Family",1,"Contact Agent"
"291","2",16000,800,"Super Area","Adambakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"292","3",28000,917,"Carpet Area","Sholinganallur","Semi-Furnished","Family",2,"Contact Owner"
"293","2",16000,960,"Super Area","Porur","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"294","2",13000,1000,"Super Area","Medavakkam","Unfurnished","Bachelors/Family",2,"Contact Owner"
"295","2",35000,1000,"Super Area","Adyar, Sardar Patel Road","Furnished","Bachelors",2,"Contact Agent"
"296","1",11000,579,"Super Area","New Kumaran Nagar","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"297","1",5000,800,"Carpet Area","N G O nagar extn ponneri","Unfurnished","Bachelors/Family",1,"Contact Owner"
"298","2",23000,1100,"Carpet Area","Gopalapuram","Unfurnished","Bachelors",2,"Contact Agent"
"299","2",11000,635,"Carpet Area","Mannivakkam","Semi-Furnished","Bachelors",2,"Contact Owner"
"300","3",25000,1700,"Carpet Area","Padur, Old Mahabalipuram Road","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"301","1",4500,600,"Super Area","Kolathur","Unfurnished","Bachelors/Family",1,"Contact Owner"
"302","4",100000,2500,"Carpet Area","Sholinganallur","Unfurnished","Bachelors/Family",4,"Contact Agent"
"303","3",47500,1920,"Super Area","Thoraipakkam","Semi-Furnished","Family",3,"Contact Agent"
"304","2",7500,850,"Super Area","Kolapakkam - Vandalur-Kelambakkam Road","Semi-Furnished","Bachelors",2,"Contact Owner"
"305","3",16500,1850,"Super Area","Nemilichery, Chromepet","Unfurnished","Bachelors",3,"Contact Owner"
"306","2",18000,1375,"Carpet Area","Central Bank Colony, Chromepet","Furnished","Family",1,"Contact Owner"
"307","2",7000,700,"Super Area","Tambaram East","Unfurnished","Bachelors/Family",2,"Contact Owner"
"308","1",8000,700,"Super Area","Velachery","Unfurnished","Bachelors/Family",2,"Contact Owner"
"309","1",10000,675,"Super Area","Perambur","Unfurnished","Bachelors/Family",1,"Contact Owner"
"310","3",7000,900,"Super Area","Ayappakkam","Unfurnished","Bachelors/Family",2,"Contact Owner"
"311","2",35000,1020,"Carpet Area","Gowrivakkam, Sembakkam","Furnished","Bachelors/Family",2,"Contact Owner"
"312","4",100000,3000,"Carpet Area","Palavakkam, E Coast Road","Unfurnished","Bachelors",4,"Contact Agent"
"313","2",13000,800,"Carpet Area","Porur","Semi-Furnished","Bachelors",1,"Contact Owner"
"314","2",10000,600,"Super Area","Pammal","Unfurnished","Bachelors/Family",1,"Contact Owner"
"315","2",14000,890,"Super Area","Valasaravakkam, Arcot Road","Unfurnished","Family",2,"Contact Owner"
"316","3",46000,1700,"Super Area","Thoraipakkam","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"317","4",65000,2000,"Carpet Area","Adyar, Sardar Patel Road","Semi-Furnished","Bachelors",3,"Contact Agent"
"318","2",9000,800,"Carpet Area","Medavakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"319","3",13500,1002,"Super Area","Mangadu","Furnished","Bachelors/Family",2,"Contact Owner"
"320","3",29000,1225,"Carpet Area","Koyambedu","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"321","2",23999,610,"Carpet Area","Kannan Colony, Pazhavanthangal","Furnished","Bachelors/Family",1,"Contact Agent"
"322","3",26000,1200,"Super Area","Thiruvanmiyur","Semi-Furnished","Family",3,"Contact Owner"
"323","2",8200,850,"Super Area","Anakaputhur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"324","1",15000,500,"Super Area","Royapettah","Semi-Furnished","Family",1,"Contact Owner"
"325","2",10000,778,"Super Area","Sholinganallur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"326","2",20000,850,"Carpet Area","Oragadam","Unfurnished","Bachelors",2,"Contact Owner"
"327","2",15000,800,"Carpet Area","Adambakkam","Unfurnished","Bachelors/Family",2,"Contact Owner"
"328","2",14000,1200,"Super Area","Valasaravakkam, Arcot Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"329","2",11000,750,"Super Area","Vivekanathanagar kolathur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"330","1",6500,550,"Super Area","Jawahar Nagar","Unfurnished","Bachelors/Family",1,"Contact Owner"
"331","3",26000,1567,"Carpet Area","Old Mahabalipuram Road","Furnished","Bachelors/Family",3,"Contact Owner"
"332","1",7500,650,"Super Area","Nemilichery, Chromepet","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"333","2",14500,1150,"Carpet Area","Zamin Pallavaram, Pallavaram","Unfurnished","Bachelors",2,"Contact Owner"
"334","6",280000,4500,"Carpet Area","Raja Annamalai Puram","Semi-Furnished","Bachelors",5,"Contact Agent"
"335","2",12000,900,"Super Area","Shenoy Nagar, PH Road","Unfurnished","Bachelors/Family",2,"Contact Owner"
"336","3",45000,1450,"Carpet Area","Mylapore","Unfurnished","Bachelors",2,"Contact Agent"
"337","2",22000,850,"Super Area","Virugambakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"338","1",7000,550,"Super Area","Sembakkam","Unfurnished","Bachelors/Family",1,"Contact Owner"
"339","1",7000,600,"Carpet Area","Ganapathipuram, Chromepet","Unfurnished","Bachelors/Family",1,"Contact Owner"
"340","2",45000,1200,"Super Area","Chetpet, PH Road","Furnished","Bachelors/Family",2,"Contact Owner"
"341","4",20000,1450,"Super Area","Tiruvottiyur","Semi-Furnished","Bachelors/Family",4,"Contact Owner"
"342","2",14000,560,"Carpet Area","Medavakkam","Semi-Furnished","Family",2,"Contact Owner"
"343","2",18000,1113,"Super Area","Ayappakkam","Semi-Furnished","Family",2,"Contact Owner"
"344","3",20000,1600,"Super Area","Chromepet, GST Road","Semi-Furnished","Bachelors/Family",4,"Contact Owner"
"345","1",10000,550,"Carpet Area","Arumbakkam","Unfurnished","Bachelors/Family",1,"Contact Owner"
"346","2",25000,1200,"Carpet Area","Kasi Estate","Unfurnished","Bachelors/Family",2,"Contact Agent"
"347","2",18000,900,"Super Area","Elango Nagar-Virugambakkam","Semi-Furnished","Family",2,"Contact Owner"
"348","1",5000,800,"Super Area","Tondiarpet, Ennore High Road","Unfurnished","Family",1,"Contact Owner"
"349","2",12000,1200,"Super Area","Perungalathur, Chennai Bypass Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"350","2",13000,1000,"Super Area","Kodungaiyur West","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"351","2",30000,1100,"Super Area","Nandanam Extension","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"352","2",9000,700,"Super Area","Mugalivakkam","Furnished","Bachelors/Family",1,"Contact Owner"
"353","1",12000,650,"Super Area","Triplicane","Unfurnished","Bachelors/Family",1,"Contact Owner"
"354","3",30000,1500,"Carpet Area","Korattur, Jawaharlal Nehru Road","Semi-Furnished","Family",2,"Contact Owner"
"355","3",20000,1175,"Carpet Area","Lanchor Abode valley","Furnished","Bachelors",2,"Contact Owner"
"356","2",12000,750,"Super Area","Nesapakkam","Unfurnished","Bachelors/Family",2,"Contact Owner"
"357","2",9500,1010,"Super Area","Urapakkam, Vandalur R.F, GST Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"358","2",22000,1050,"Super Area","Baby Nagar Extention, Velachery","Semi-Furnished","Family",2,"Contact Agent"
"359","3",23000,1060,"Carpet Area","Mogappair East","Unfurnished","Bachelors",2,"Contact Owner"
"360","2",9500,900,"Super Area","Ambattur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"361","2",13500,1000,"Super Area","Padur, Old Mahabalipuram Road","Semi-Furnished","Family",2,"Contact Owner"
"362","1",12000,450,"Super Area","Mambalam West","Unfurnished","Bachelors/Family",1,"Contact Owner"
"363","3",33000,1600,"Carpet Area","Iyyappanthangal","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"364","3",33000,1760,"Super Area","Iyyappanthangal","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"365","2",18999,618,"Carpet Area","Porur","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"366","3",18000,1220,"Super Area","Pammal","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"367","1",8500,580,"Super Area","Pallavaram","Unfurnished","Bachelors/Family",1,"Contact Owner"
"368","3",20000,1651,"Super Area","Perumbakkam","Semi-Furnished","Family",3,"Contact Owner"
"369","2",9000,705,"Carpet Area","Urapakkam, Vandalur R.F, GST Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"370","1",7000,700,"Super Area","Thiruverkkadu","Unfurnished","Bachelors/Family",1,"Contact Owner"
"371","3",53000,1700,"Carpet Area","Iyyappanthangal","Furnished","Bachelors/Family",3,"Contact Agent"
"372","2",14000,901,"Super Area","Mugalivakkam","Unfurnished","Bachelors/Family",2,"Contact Owner"
"373","2",21000,1100,"Super Area","Navalur","Furnished","Bachelors/Family",2,"Contact Owner"
"374","3",16000,1120,"Super Area","Selaiyur","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"375","2",26000,1300,"Carpet Area","Chetpet, PH Road","Semi-Furnished","Bachelors",2,"Contact Agent"
"376","3",20000,1350,"Super Area","Thalambur","Furnished","Bachelors",3,"Contact Owner"
"377","2",25000,1340,"Super Area","Iyyappanthangal","Semi-Furnished","Family",2,"Contact Owner"
"378","1",10000,250,"Super Area","Neelankarai, E Coast Road","Unfurnished","Bachelors/Family",1,"Contact Owner"
"379","2",11500,700,"Carpet Area","Madipakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"380","2",15000,650,"Carpet Area","Old Washermanpet","Unfurnished","Bachelors",2,"Contact Owner"
"381","1",4200,490,"Super Area","Villivakkam, Jawaharlal Nehru Road","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"382","2",9500,700,"Carpet Area","Kelambakkam, Old Mahabalipuram Road","Unfurnished","Bachelors/Family",1,"Contact Owner"
"383","1",8000,580,"Super Area","Selaiyur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"384","2",16000,1400,"Carpet Area","Madipakkam","Semi-Furnished","Bachelors",3,"Contact Owner"
"385","2",12000,850,"Carpet Area","Prashant Collony Extension","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"386","2",12000,850,"Carpet Area","Sembakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"387","2",12000,900,"Super Area","Kolathur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"388","2",13000,780,"Super Area","Madipakkam","Furnished","Bachelors/Family",2,"Contact Owner"
"389","3",15723,1246,"Super Area","Kelambakkam, Old Mahabalipuram Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"390","1",6000,300,"Super Area","Arumbakkam","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"391","2",10000,900,"Super Area","Pammal","Unfurnished","Bachelors/Family",2,"Contact Owner"
"392","1",3000,350,"Super Area","Mangadu","Unfurnished","Bachelors/Family",1,"Contact Owner"
"393","2",7500,900,"Super Area","Pammal","Unfurnished","Bachelors/Family",2,"Contact Owner"
"394","2",18000,1099,"Super Area","Valasaravakkam, Arcot Road","Semi-Furnished","Family",2,"Contact Owner"
"395","3",16500,1530,"Carpet Area","Padur, Old Mahabalipuram Road","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"396","3",35000,2000,"Super Area","Iyyappanthangal","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"397","3",15000,1095,"Super Area","Madambakkam","Furnished","Bachelors/Family",2,"Contact Owner"
"398","2",7000,780,"Carpet Area","Kalavakkam","Unfurnished","Family",2,"Contact Owner"
"399","3",38000,1300,"Carpet Area","Chromepet, GST Road","Unfurnished","Bachelors/Family",3,"Contact Agent"
"400","2",20000,900,"Super Area","Annanagar East","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"401","1",7500,450,"Super Area","Mugalivakkam","Unfurnished","Bachelors/Family",1,"Contact Owner"
"402","2",12500,400,"Super Area","Karanai","Unfurnished","Bachelors/Family",2,"Contact Owner"
"403","3",16000,900,"Super Area","Chennai","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"404","2",16000,935,"Carpet Area","Porur","Unfurnished","Bachelors",2,"Contact Owner"
"405","1",8500,450,"Super Area","Thoraipakkam","Unfurnished","Bachelors/Family",1,"Contact Owner"
"406","2",30000,1020,"Carpet Area","Chromepet, GST Road","Furnished","Bachelors/Family",2,"Contact Agent"
"407","3",16000,1280,"Super Area","Kodungaiyur East","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"408","1",5700,450,"Carpet Area","Anakaputhur","Semi-Furnished","Family",1,"Contact Owner"
"409","2",18000,1120,"Super Area","Porur","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"410","2",15000,1000,"Super Area","Varadharajapuram","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"411","2",7500,1000,"Super Area","Guduvancheri","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"412","2",9000,750,"Super Area","Korattur, Jawaharlal Nehru Road","Unfurnished","Bachelors/Family",2,"Contact Owner"
"413","2",13000,1000,"Super Area","Chetpet, PH Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"414","3",25000,1100,"Super Area","Triplicane","Unfurnished","Bachelors/Family",2,"Contact Owner"
"415","3",130000,3000,"Super Area","Thiruvanmiyur","Furnished","Bachelors/Family",3,"Contact Agent"
"416","2",13000,650,"Super Area","Kattupakkam, PH Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"417","3",20000,1500,"Carpet Area","Tambaram East","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"418","1",18000,500,"Super Area","George Town, PH Road","Unfurnished","Bachelors/Family",1,"Contact Owner"
"419","2",8000,700,"Super Area","Avadi","Unfurnished","Bachelors/Family",1,"Contact Owner"
"420","1",16000,450,"Super Area","Korattur, Jawaharlal Nehru Road","Furnished","Bachelors/Family",1,"Contact Owner"
"421","2",18000,700,"Carpet Area","Choolaimedu","Unfurnished","Bachelors",2,"Contact Agent"
"422","2",19000,1250,"Super Area","Okkiyam Thuraipakkam, E Coast Road","Semi-Furnished","Family",2,"Contact Owner"
"423","2",7500,700,"Super Area","Madambakkam","Unfurnished","Bachelors/Family",2,"Contact Owner"
"424","2",15000,650,"Super Area","Ponniammanmedu","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"425","2",19000,850,"Super Area","Choolaimedu","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"426","2",10000,750,"Carpet Area","Medavakkam","Unfurnished","Bachelors",2,"Contact Owner"
"427","3",45000,1780,"Super Area","Kamaraj Nagar-Thiruvanmiyur, E Coast Road","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"428","2",20000,980,"Super Area","Perumbakkam","Unfurnished","Bachelors/Family",2,"Contact Owner"
"429","2",7500,700,"Super Area","Alapakkam, Porur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"430","2",14000,600,"Carpet Area","Mahindra World City","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"431","2",5000,800,"Super Area","Ayappakkam","Unfurnished","Bachelors/Family",2,"Contact Owner"
"432","2",20000,1500,"Super Area","Iyyappanthangal","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"433","3",15000,1402,"Carpet Area","Polacheri","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"434","3",75000,1500,"Carpet Area","T Nagar","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"435","3",30000,1300,"Super Area","Navalur","Furnished","Bachelors/Family",3,"Contact Owner"
"436","3",30000,1484,"Carpet Area","Porur","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"437","1",12500,630,"Carpet Area","VGP Seethapathy Nagar, Velachery","Semi-Furnished","Bachelors",1,"Contact Owner"
"438","2",24000,1150,"Carpet Area","Chromepet, GST Road","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"439","2",10000,800,"Carpet Area","Tambaram East","Unfurnished","Family",2,"Contact Owner"
"440","2",12000,600,"Carpet Area","Saidapet","Semi-Furnished","Bachelors",2,"Contact Owner"
"441","3",45000,2200,"Super Area","KK Nagar","Unfurnished","Bachelors/Family",3,"Contact Agent"
"442","2",10500,950,"Super Area","Madambakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"443","2",6250,700,"Super Area","Pattabiram","Unfurnished","Bachelors/Family",2,"Contact Owner"
"444","1",6000,450,"Super Area","Sholinganallur","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"445","1",7500,150,"Carpet Area","Choolaimedu","Unfurnished","Bachelors",1,"Contact Owner"
"446","1",6300,360,"Super Area","Erukkancheri, Kodungaiyur West","Unfurnished","Bachelors/Family",1,"Contact Owner"
"447","1",7000,750,"Super Area","Mangadu","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"448","2",14000,1065,"Super Area","Madipakkam","Semi-Furnished","Family",2,"Contact Owner"
"449","2",10000,650,"Super Area","Tiruvottiyur","Unfurnished","Bachelors/Family",2,"Contact Owner"
"450","2",30000,1140,"Carpet Area","Iyyappanthangal","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"451","3",16000,1525,"Carpet Area","Thalambur","Semi-Furnished","Family",3,"Contact Owner"
"452","3",22000,1450,"Carpet Area","Old Mahabalipuram Road","Furnished","Bachelors/Family",3,"Contact Owner"
"453","2",14000,1200,"Carpet Area","Siruseri","Semi-Furnished","Bachelors",2,"Contact Owner"
"454","2",18000,1100,"Super Area","Purasawalkam, PH Road","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"455","2",10500,700,"Super Area","Ponniammanmedu","Semi-Furnished","Family",2,"Contact Owner"
"456","1",6000,600,"Carpet Area","RE Nagar, Porur","Unfurnished","Family",1,"Contact Owner"
"457","3",20000,1200,"Carpet Area","Indira Colony","Unfurnished","Bachelors/Family",2,"Contact Owner"
"458","3",90000,2100,"Carpet Area","Alwarpet","Unfurnished","Bachelors",3,"Contact Agent"
"459","2",13500,950,"Super Area","Potheri, Kattankulathur","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"460","1",7000,800,"Carpet Area","Jalladian Pet","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"461","2",12500,900,"Carpet Area","Ambattur","Unfurnished","Bachelors",2,"Contact Owner"
"462","2",15000,805,"Super Area","Kodambakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"463","2",14000,800,"Carpet Area","Vetri Nagar, Perambur","Unfurnished","Bachelors",2,"Contact Owner"
"464","2",28000,2300,"Carpet Area","Velachery","Furnished","Bachelors",2,"Contact Owner"
"465","2",9500,1200,"Super Area","Moulivakkam, Moulivakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"466","3",16000,1200,"Carpet Area","Ayyappa Nagar, Pallavaram","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"467","4",120000,4000,"Super Area","Perungudi","Semi-Furnished","Bachelors",4,"Contact Agent"
"468","3",20000,1500,"Carpet Area","Oragadam","Unfurnished","Bachelors/Family",2,"Contact Owner"
"469","1",21000,500,"Carpet Area","Pallavaram","Furnished","Bachelors/Family",1,"Contact Agent"
"470","2",22000,1050,"Super Area","Velachery","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"471","4",120000,2550,"Carpet Area","Adyar, Sardar Patel Road","Semi-Furnished","Bachelors",4,"Contact Agent"
"472","2",15000,650,"Carpet Area","Kilpauk","Unfurnished","Bachelors",2,"Contact Owner"
"473","1",5000,800,"Carpet Area","Kovur","Unfurnished","Bachelors/Family",1,"Contact Owner"
"474","2",15000,1000,"Super Area","Iyyappanthangal","Unfurnished","Bachelors/Family",2,"Contact Owner"
"475","2",19000,900,"Super Area","Choolaimedu","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"476","3",37500,1475,"Super Area","Adyar, Sardar Patel Road","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"477","1",8000,360,"Super Area","Mogappair West","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"478","3",45000,1600,"Carpet Area","Adyar, Sardar Patel Road","Unfurnished","Bachelors/Family",3,"Contact Agent"
"479","1",5000,550,"Super Area","Perumbakkam","Unfurnished","Bachelors/Family",1,"Contact Owner"
"480","3",30000,1800,"Super Area","Kolathur","Unfurnished","Bachelors",2,"Contact Owner"
"481","2",17000,1000,"Super Area","Kesari Nagar, Adambakkam","Unfurnished","Bachelors/Family",2,"Contact Owner"
"482","2",15000,700,"Super Area","Karapakkam","Furnished","Bachelors/Family",2,"Contact Owner"
"483","1",3500,500,"Super Area","Thirunagar","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"484","3",25000,1132,"Super Area","Korattur, Jawaharlal Nehru Road","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"485","3",17000,1400,"Carpet Area","Old Mahabalipuram Road","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"486","5",50000,3300,"Super Area","Valasaravakkam, Arcot Road","Semi-Furnished","Bachelors/Family",5,"Contact Owner"
"487","3",22000,1400,"Carpet Area","Chembarambakkam","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"488","2",12000,800,"Super Area","Ambattur","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"489","3",10000,80,"Carpet Area","Pudupakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"490","3",10000,1000,"Carpet Area","Kelambakkam, Old Mahabalipuram Road","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"491","2",26000,1020,"Super Area","Vadapalani","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"492","2",9000,500,"Carpet Area","Vengaivasal, Medavakkam","Furnished","Bachelors/Family",2,"Contact Owner"
"493","2",12000,900,"Super Area","Keelkattalai","Furnished","Bachelors/Family",2,"Contact Owner"
"494","2",8500,600,"Carpet Area","58 block","Unfurnished","Bachelors/Family",1,"Contact Owner"
"495","2",7000,1100,"Super Area","Old Mahabalipuram Road","Unfurnished","Bachelors/Family",2,"Contact Owner"
"496","2",12000,1200,"Carpet Area","mahindra city","Unfurnished","Family",3,"Contact Owner"
"497","2",12000,650,"Carpet Area","Old Washermanpet","Unfurnished","Bachelors/Family",2,"Contact Owner"
"498","2",26000,900,"Super Area","Velachery","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"499","3",13000,100,"Carpet Area","Ambattur railway station","Unfurnished","Bachelors/Family",2,"Contact Owner"
"500","2",30000,1100,"Carpet Area","Nandanam Extension","Unfurnished","Bachelors/Family",2,"Contact Owner"
"501","2",30000,585,"Super Area","Pallavaram","Unfurnished","Bachelors/Family",2,"Contact Owner"
"502","2",12000,740,"Super Area","Madipakkam","Unfurnished","Bachelors/Family",2,"Contact Owner"
"503","1",10000,550,"Super Area","Guindy","Unfurnished","Bachelors/Family",1,"Contact Owner"
"504","2",13000,786,"Super Area","Villivakkam, Jawaharlal Nehru Road","Furnished","Bachelors/Family",2,"Contact Owner"
"505","2",13000,1100,"Carpet Area","Irumbuliyur","Unfurnished","Family",2,"Contact Owner"
"506","3",40000,1500,"Super Area","Virugambakkam","Semi-Furnished","Bachelors",3,"Contact Agent"
"507","3",25000,1440,"Carpet Area","Mahindra World City","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"508","1",8000,700,"Super Area","Ayanavaram","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"509","1",6000,450,"Super Area","Kallikuppam","Unfurnished","Bachelors/Family",1,"Contact Owner"
"510","3",17000,1200,"Super Area","Velachery","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"511","3",17000,1785,"Super Area","Old Mahabalipuram Road","Semi-Furnished","Family",3,"Contact Owner"
"512","2",15000,1050,"Super Area","Kovilambakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"513","2",8500,700,"Super Area","Tirumudivakkam, Thiruvanmiyur","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"514","2",8500,450,"Carpet Area","Suriyammapet, Saidapet","Unfurnished","Bachelors/Family",1,"Contact Owner"
"515","2",11000,803,"Super Area","Moulivakkam, Moulivakkam","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
